ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
WIDNR_WQX-38317595,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.066,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-38317595,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.219,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317595,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.91,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317595,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.032,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317613,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.064,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-38317613,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.180,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317613,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.84,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317613,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317631,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.617,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-38317631,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,3.19,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317631,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,3.79,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-38317631,2010-10-05,11:00:00,CDT,2010-10-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119580,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.108,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-39119580,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.509,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119580,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.07,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119580,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.137,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119598,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.096,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-39119598,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.484,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119598,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.03,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119598,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.122,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119616,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.094,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-39119616,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.480,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119616,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.09,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-39119616,2010-11-09,09:00:00,CST,2010-11-09,11:00:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.124,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737748,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.093,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737748,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.588,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737748,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.42,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737748,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.307,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737766,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.082,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737766,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.591,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737766,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.34,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737766,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.330,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737784,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.082,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737784,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.585,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737784,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.30,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737784,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.319,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737802,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.090,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737802,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.615,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737802,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.37,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737802,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.393,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737820,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.089,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737820,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.609,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737820,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.39,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737820,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.394,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737838,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.230,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-41737838,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,1.09,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737838,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.89,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-41737838,2011-01-19,13:00:00,CST,2011-01-19,23:55:00,CST,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,1.12,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168917,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.72,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168917,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.066,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46168917,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.029,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168917,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.915,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168936,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.74,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168936,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.067,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46168936,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.022,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168936,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.907,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168955,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.72,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168955,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.068,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46168955,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.026,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46168955,2011-04-18,12:00:00,CDT,2011-04-18,23:55:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.908,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534669,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.53,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534669,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.058,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46534669,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.044,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534669,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.861,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534687,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.60,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534687,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.079,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46534687,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.047,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46534687,2011-05-02,11:30:00,CDT,2011-05-02,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.860,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894370,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.88,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894370,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.810,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894370,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.076,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894370,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.156,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894388,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.81,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894388,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.820,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894388,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.077,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894388,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.155,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894406,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.86,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894406,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.825,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894406,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.071,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894406,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.126,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894424,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.83,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894424,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.828,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894424,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.066,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894424,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.114,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894442,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.76,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894442,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.831,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894442,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.075,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894442,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.112,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894460,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.86,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894460,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.850,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-46894460,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.064,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-46894460,2011-05-17,10:00:00,CDT,2011-05-17,12:00:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.103,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-47843372,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.783,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-47843372,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.073,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-47843372,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.232,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-47843372,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.97,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-47843390,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.793,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-47843390,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.074,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-47843390,2011-05-31,11:00:00,CDT,2011-05-31,23:55:00,CDT,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.228,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
